Player,Squad,Age,Nationality,Season
Conor Coady,Leicester City,32-059,eng ENG,2023-2024
Séamus Coleman,Everton,36-196,ie IRL,2023-2024
Nathan Collins,Brentford,23-360,ie IRL,2023-2024
Toby Collyer,Manchester Utd,21-112,eng ENG,2023-2024
Levi Colwill,Chelsea,22-058,eng ENG,2023-2024
Lewis Cook,Bournemouth,28-081,eng ENG,2023-2024
Maxwel Cornet,Southampton,28-210,ci CIV,2023-2024
Vladimír Coufal,West Ham,32-246,cz CZE,2023-2024
Woyo Coulibaly,Leicester City,25-340,fr FRA,2023-2024
Aaron Cresswell,West Ham,35-131,eng ENG,2023-2024
Marc Cucurella,Chelsea,26-277,es ESP,2023-2024
Jorge Cuenca,Fulham,25-159,es ESP,2023-2024
Matheus Cunha,Wolves,25-333,br BRA,2023-2024
Patson Daka,Leicester City,26-198,zm ZAM,2023-2024
Diogo Dalot,Manchester Utd,26-038,pt POR,2023-2024
Mikkel Damsgaard,Brentford,24-296,dk DEN,2023-2024
Danilo,Nott'ham Forest,23-361,br BRA,2023-2024
Jayden Danns,Liverpool,19-099,eng ENG,2023-2024
Kevin Danso,Tottenham,26-218,at AUT,2023-2024
Ben Davies,Tottenham,32-001,wls WAL,2023-2024
Leif Davis,Ipswich Town,25-103,eng ENG,2023-2024
Craig Dawson,Wolves,34-354,eng ENG,2023-2024
Kevin De Bruyne,Manchester City,33-301,be BEL,2023-2024
Bobby De Cordova-Reid,Leicester City,32-082,jm JAM,2023-2024
Liam Delap,Ipswich Town,22-076,eng ENG,2023-2024
Sepp van den Berg,Brentford,23-126,nl NED,2023-2024
Justin Devenny,Crystal Palace,21-196,nir NIR,2023-2024
Kiernan Dewsbury-Hall,Chelsea,26-231,eng ENG,2023-2024
Amad Diallo,Manchester Utd,22-288,ci CIV,2023-2024
Rúben Dias,Manchester City,27-346,pt POR,2023-2024
Luis Díaz,Liverpool,28-102,co COL,2023-2024
Tyler Dibling,Southampton,19-044,eng ENG,2023-2024
Lucas Digne,Aston Villa,31-279,fr FRA,2023-2024
Issa Diop,Fulham,28-106,fr FRA,2023-2024
Axel Disasi,Aston Villa,27-045,fr FRA,2023-2024
Axel Disasi,Chelsea,27-045,fr FRA,2023-2024
Roman Dixon,Everton,20-120,eng ENG,2023-2024
Nasser Djiga,Wolves,22-161,bf BFA,2023-2024
Matt Doherty,Wolves,33-099,ie IRL,2023-2024
Jeremy Doku,Manchester City,22-333,be BEL,2023-2024
Nicolás Domínguez,Nott'ham Forest,26-301,ar ARG,2023-2024
Patrick Dorgu,Manchester Utd,20-181,dk DEN,2023-2024
Alfie Dorrington,Tottenham,20-005,eng ENG,2023-2024
Abdoulaye Doucouré,Everton,32-114,ml MLI,2023-2024
Cheick Doucouré,Crystal Palace,25-107,ml MLI,2023-2024
Flynn Downes,Southampton,26-095,eng ENG,2023-2024
Tommy Doyle,Wolves,23-190,eng ENG,2023-2024
Radu Drăgușin,Tottenham,23-081,ro ROU,2023-2024
Martin Dúbravka,Newcastle Utd,36-100,sk SVK,2023-2024
Lewis Dunk,Brighton,33-155,eng ENG,2023-2024
Jáder Durán,Aston Villa,21-133,co COL,2023-2024
Ederson,Manchester City,31-251,br BRA,2023-2024
George Edmundson,Ipswich Town,27-237,eng ENG,2023-2024
Odsonne Édouard,Crystal Palace,27-099,fr FRA,2023-2024
Odsonne Édouard,Leicester City,27-099,fr FRA,2023-2024
Samuel Edozie,Southampton,22-087,eng ENG,2023-2024
Ronnie Edwards,Southampton,22-028,eng ENG,2023-2024
Anthony Elanga,Nott'ham Forest,22-363,se SWE,2023-2024
Harvey Elliott,Liverpool,22-021,eng ENG,2023-2024
Yunus Emre Konak,Brentford,19-105,tr TUR,2023-2024
Julio Enciso,Ipswich Town,21-092,py PAR,2023-2024
Julio Enciso,Brighton,21-092,py PAR,2023-2024
Wataru Endo,Liverpool,32-075,jp JPN,2023-2024
Christian Eriksen,Manchester Utd,33-070,dk DEN,2023-2024
Romain Esse,Crystal Palace,19-347,eng ENG,2023-2024
Pervis Estupiñán,Brighton,27-094,ec ECU,2023-2024
Evanilson,Bournemouth,25-201,br BRA,2023-2024
Jake Evans,Leicester City,,,2023-2024
Jonny Evans,Manchester Utd,37-112,nir NIR,2023-2024
Eberechi Eze,Crystal Palace,26-300,eng ENG,2023-2024
Łukasz Fabiański,West Ham,40-007,pl POL,2023-2024
Wout Faes,Leicester City,27-022,be BEL,2023-2024
Abdul Fatawu Issahaku,Leicester City,21-048,gh GHA,2023-2024
João Félix,Chelsea,25-166,pt POR,2023-2024
Evan Ferguson,West Ham,20-188,ie IRL,2023-2024
Evan Ferguson,Brighton,20-188,ie IRL,2023-2024
Bruno Fernandes,Manchester Utd,30-229,pt POR,2023-2024
Mateus Fernandes,Southampton,20-289,pt POR,2023-2024
Enzo Fernández,Chelsea,24-098,ar ARG,2023-2024
Mark Flekken,Brentford,31-316,nl NED,2023-2024
Phil Foden,Manchester City,24-332,eng ENG,2023-2024
Wesley Fofana,Chelsea,24-129,fr FRA,2023-2024
Carlos Forbs,Wolves,21-037,pt POR,2023-2024
Fraser Forster,Tottenham,37-039,eng ENG,2023-2024
Matheus França,Crystal Palace,21-024,br BRA,2023-2024
Ryan Fraser,Southampton,31-060,sct SCO,2023-2024
Tyler Fredricson,Manchester Utd,20-061,eng ENG,2023-2024
Niclas Füllkrug,West Ham,32-075,de GER,2023-2024
Cody Gakpo,Liverpool,25-353,nl NED,2023-2024
Idrissa Gana Gueye,Everton,35-211,sn SEN,2023-2024
Andrés García,Aston Villa,22-077,es ESP,2023-2024
Alejandro Garnacho,Manchester Utd,20-298,ar ARG,2023-2024
James Garner,Everton,24-043,eng ENG,2023-2024
Tyrique George,Chelsea,19-080,eng ENG,2023-2024
Morgan Gibbs-White,Nott'ham Forest,25-088,eng ENG,2023-2024
