Player,Squad,Age,Nationality,Season
Ismaila Sarr,Crystal Palace,27-059,sn SEN,2023-2024
Sávio,Manchester City,21-015,br BRA,2023-2024
Oliver Scarles,West Ham,19-134,eng ENG,2023-2024
Dane Scarlett,Tottenham,21-032,eng ENG,2023-2024
Kevin Schade,Brentford,23-149,de GER,2023-2024
Fabian Schär,Newcastle Utd,33-126,ch SUI,2023-2024
Jeffrey Schlupp,Crystal Palace,32-123,gh GHA,2023-2024
Alex Scott,Bournemouth,21-247,eng ENG,2023-2024
Matz Sels,Nott'ham Forest,33-058,be BEL,2023-2024
Nélson Semedo,Wolves,31-160,pt POR,2023-2024
Antoine Semenyo,Bournemouth,25-108,gh GHA,2023-2024
Marcos Senesi,Bournemouth,27-350,ar ARG,2023-2024
Ryan Sessegnon,Fulham,24-342,eng ENG,2023-2024
Luke Shaw,Manchester Utd,29-287,eng ENG,2023-2024
Zain Silcott-Duberry,Bournemouth,19-290,ms MSR,2023-2024
Bernardo Silva,Manchester City,30-258,pt POR,2023-2024
Jota Silva,Nott'ham Forest,25-267,pt POR,2023-2024
Eric da Silva Moreira,Nott'ham Forest,18-357,de GER,2023-2024
Jahmai Simpson-Pusey,Manchester City,19-172,eng ENG,2023-2024
Luis Sinisterra,Bournemouth,25-312,co COL,2023-2024
Oliver Skipp,Leicester City,24-221,eng ENG,2023-2024
William Smallbone,Southampton,25-063,ie IRL,2023-2024
Adam Smith,Bournemouth,33-361,eng ENG,2023-2024
Emile Smith Rowe,Fulham,24-271,eng ENG,2023-2024
Dominic Solanke,Tottenham,27-223,eng ENG,2023-2024
Carlos Soler,West Ham,28-113,es ESP,2023-2024
Julio Soler,Bournemouth,20-068,ar ARG,2023-2024
Ramón Sosa,Nott'ham Forest,25-237,py PAR,2023-2024
Tomáš Souček,West Ham,30-057,cz CZE,2023-2024
Boubakary Soumaré,Leicester City,26-057,fr FRA,2023-2024
Djed Spence,Tottenham,24-259,eng ENG,2023-2024
Jay Stansfield,Fulham,22-152,eng ENG,2023-2024
Jason Steele,Brighton,34-250,eng ENG,2023-2024
Jack Stephens,Southampton,31-088,eng ENG,2023-2024
Raheem Sterling,Arsenal,30-138,eng ENG,2023-2024
Ross Stewart,Southampton,28-288,sct SCO,2023-2024
Jakub Stolarczyk,Leicester City,24-127,pl POL,2023-2024
John Stones,Manchester City,30-332,eng ENG,2023-2024
Jørgen Strand Larsen,Wolves,25-078,no NOR,2023-2024
Yukinari Sugawara,Southampton,24-301,jp JPN,2023-2024
Kamaldeen Sulemana,Southampton,23-069,gh GHA,2023-2024
Crysencio Summerville,West Ham,23-177,nl NED,2023-2024
Sammie Szmodics,Ipswich Town,29-213,ie IRL,2023-2024
Dominik Szoboszlai,Liverpool,24-182,hu HUN,2023-2024
Matt Targett,Newcastle Utd,29-219,eng ENG,2023-2024
James Tarkowski,Everton,32-157,eng ENG,2023-2024
Marcus Tavernier,Bournemouth,26-034,eng ENG,2023-2024
Charlie Taylor,Southampton,31-219,eng ENG,2023-2024
Jack Taylor,Ipswich Town,26-306,ie IRL,2023-2024
Mathys Tel,Tottenham,19-363,fr FRA,2023-2024
Kenny Tete,Fulham,29-198,nl NED,2023-2024
Thiago,Brentford,23-303,br BRA,2023-2024
Luke Thomas,Leicester City,23-319,eng ENG,2023-2024
Youri Tielemans,Aston Villa,27-353,be BEL,2023-2024
Kieran Tierney,Arsenal,27-324,sct SCO,2023-2024
Jurriën Timber,Arsenal,23-312,nl NED,2023-2024
Jean-Clair Todibo,West Ham,25-116,fr FRA,2023-2024
Harry Toffolo,Nott'ham Forest,29-249,eng ENG,2023-2024
Takehiro Tomiyasu,Arsenal,26-171,jp JPN,2023-2024
Sandro Tonali,Newcastle Utd,24-352,it ITA,2023-2024
Pau Torres,Aston Villa,28-099,es ESP,2023-2024
Conor Townsend,Ipswich Town,32-052,eng ENG,2023-2024
Adama Traoré,Fulham,29-090,es ESP,2023-2024
Boubacar Traoré,Wolves,23-248,ml MLI,2023-2024
Mark Travers,Bournemouth,25-342,ie IRL,2023-2024
Ryan Trevitt,Brentford,22-044,eng ENG,2023-2024
Kieran Trippier,Newcastle Utd,34-218,eng ENG,2023-2024
Leandro Trossard,Arsenal,30-142,be BEL,2023-2024
Kostas Tsimikas,Liverpool,28-348,gr GRE,2023-2024
Axel Tuanzebe,Ipswich Town,27-162,cd COD,2023-2024
Destiny Udogie,Tottenham,22-148,it ITA,2023-2024
Manuel Ugarte Ribeiro,Manchester Utd,24-014,uy URU,2023-2024
Lesley Ugochukwu,Southampton,21-030,fr FRA,2023-2024
Enes Ünal,Bournemouth,27-350,tr TUR,2023-2024
Virgil van Dijk,Liverpool,33-291,nl NED,2023-2024
Jamie Vardy,Leicester City,38-104,eng ENG,2023-2024
Renato Veiga,Chelsea,21-270,pt POR,2023-2024
Joël Veltman,Brighton,33-100,nl NED,2023-2024
Micky van de Ven,Tottenham,24-006,nl NED,2023-2024
Bart Verbruggen,Brighton,22-250,nl NED,2023-2024
Jannik Vestergaard,Leicester City,32-265,dk DEN,2023-2024
Guglielmo Vicario,Tottenham,28-200,it ITA,2023-2024
Carlos Vinícius,Fulham,30-031,br BRA,2023-2024
Kyle Walker,Manchester City,34-332,eng ENG,2023-2024
Kyle Walker-Peters,Southampton,28-012,eng ENG,2023-2024
Christian Walton,Ipswich Town,29-167,eng ENG,2023-2024
Aaron Wan-Bissaka,West Ham,27-150,eng ENG,2023-2024
Danny Ward,Leicester City,31-307,wls WAL,2023-2024
Joel Ward,Crystal Palace,35-178,eng ENG,2023-2024
James Ward-Prowse,West Ham,30-175,eng ENG,2023-2024
James Ward-Prowse,Nott'ham Forest,30-175,eng ENG,2023-2024
Ollie Watkins,Aston Villa,29-116,eng ENG,2023-2024
Adam Webster,Brighton,30-111,eng ENG,2023-2024
Danny Welbeck,Brighton,34-150,eng ENG,2023-2024
Welington,Southampton,24-065,br BRA,2023-2024
Timo Werner,Tottenham,29-050,de GER,2023-2024
Adam Wharton,Crystal Palace,20-327,eng ENG,2023-2024
Ben White,Arsenal,27-199,eng ENG,2023-2024
Mats Wieffer,Brighton,25-160,nl NED,2023-2024
Neco Williams,Nott'ham Forest,24-012,wls WAL,2023-2024
Willian,Fulham,36-259,br BRA,2023-2024
Joe Willock,Newcastle Utd,25-248,eng ENG,2023-2024
Callum Wilson,Newcastle Utd,33-057,eng ENG,2023-2024
Harry Wilson,Fulham,28-034,wls WAL,2023-2024
Harry Winks,Leicester City,29-082,eng ENG,2023-2024
Ben Winterburn,Bournemouth,20-233,eng ENG,2023-2024
Yoane Wissa,Brentford,28-234,cd COD,2023-2024
Chris Wood,Nott'ham Forest,33-139,nz NZL,2023-2024
Nathan Wood-Gordon,Southampton,22-329,eng ENG,2023-2024
Luke Woolfenden,Ipswich Town,26-186,eng ENG,2023-2024
Yehor Yarmoliuk,Brentford,21-055,ua UKR,2023-2024
Ryan Yates,Nott'ham Forest,27-155,eng ENG,2023-2024
Leny Yoro,Manchester Utd,19-163,fr FRA,2023-2024
Ashley Young,Everton,39-290,eng ENG,2023-2024
Illia Zabarnyi,Bournemouth,22-236,ua UKR,2023-2024
Oleksandr Zinchenko,Arsenal,28-131,ua UKR,2023-2024
Joshua Zirkzee,Manchester Utd,23-338,nl NED,2023-2024
Martin Ødegaard,Arsenal,26-129,no NOR,2023-2024
